id,name,parent,sort_order
cat_spjji,视频剪辑,cat_rjgju,142.0
cat_spqsyin,视频去水印,cat_rjgju,143.0
cat_yspzwzi,音视频转文字,cat_rjgju,144.0
cat_yspzma,音视频转码,cat_rjgju,145.0
cat_wzzypin,文字转音频,cat_rjgju,146.0
cat_yxjsqi,游戏加速器,cat_rjgju,148.0
cat_folo,Folo,cat_rjgju,153.0
cat_jmypspjma,加密音频／视频解码,cat_rjgju,156.0
cat_bsqi,变声器,cat_rjgju,157.0
cat_bji,笔记,cat_rjgju,159.0
cat_yxptdkzdytkwqmfhbfmfei,以下平台都可自定义题库，完全免费或部分免费,cat_rjgju,161.0
cat_rjxzzhanwin,Win软件下载站,cat_rjgju,164.0
cat_rjxzzhanmac,Mac软件下载站,cat_rjgju,165.0
cat_wrdzdrjtjxmumac,万人点赞的Mac软件推荐项目,cat_rjxzzhanmac,166.0
cat_zbrjdzqdao,正版软件打折渠道,cat_rjxzzhanmac,167.0
cat_yjazban,一键安装版,cat_rjgju,169.0
cat_zxbanps,PS在线版,cat_rjgju,170.0
cat_dwjbanps,PS单文件版,cat_rjgju,171.0
cat_xtzzgjupe,系统重装／PE工具,cat_rjgju,173.0
cat_xtjxiang,系统镜像,cat_rjgju,174.0
cat_xthyuan,系统还原,cat_rjgju,175.0
cat_xnji,虚拟机,cat_rjgju,176.0
cat_xtqli,系统清理,cat_rjgju,177.0
cat_xtyhua,系统优化,cat_rjgju,178.0
cat_sdaquan,杀毒／安全,cat_rjgju,179.0
cat_sjhfu,数据恢复,cat_rjgju,180.0
cat_xtxfu,系统修复,cat_rjgju,181.0
cat_qdgli,驱动管理,cat_rjgju,182.0
cat_ckgju,窗口工具,cat_rjgju,183.0
cat_flghyan,防蓝光护眼,cat_rjgju,184.0
cat_dydcgli,电源电池管理,cat_rjgju,185.0
cat_yxrjbbxzdnppdnfzndnszcsyqzxcshi,以下软件并不限制电脑品牌，但能否在你电脑上正常使用，请自行测试,cat_dydcgli,186.0
cat_bjben,笔记本,cat_rjgju,188.0
cat_tsjzji,台式机装机,cat_rjgju,189.0
cat_zhkpu,综合科普,cat_tsjzji,190.0
cat_cpu,CPU,cat_tsjzji,191.0
cat_zban,主板,cat_tsjzji,192.0
cat_xka,显卡,cat_tsjzji,193.0
cat_ypan,硬盘,cat_tsjzji,194.0
cat_gtypan,固态硬盘,cat_ypan,195.0
cat_jxypan,机械硬盘,cat_ypan,196.0
cat_sre,散热,cat_tsjzji,197.0
cat_dyuan,电源,cat_tsjzji,198.0
cat_jxiang,机箱,cat_tsjzji,199.0
cat_xsqi,显示器,cat_tsjzji,200.0
cat_zjpztjian,装机配置推荐,cat_tsjzji,201.0
cat_zjbzhou,装机步骤,cat_tsjzji,202.0
cat_yjjce,硬件检测,cat_tsjzji,203.0
cat_tsjzjgmai,台式机整机购买,cat_rjgju,204.0
cat_eji,耳机,cat_rjgju,205.0
cat_jpan,键盘,cat_rjgju,206.0
cat_sbiao,鼠标,cat_rjgju,207.0
cat_nctiao,内存条,cat_rjgju,208.0
cat_office,Office,cat_rjgju,210.0
cat_cjianoffice,Office插件,cat_rjgju,211.0
cat_wdqzdbi,文档去重对比,cat_rjgju,212.0
cat_wdxfu,文档修复,cat_rjgju,213.0
cat_swdtu,思维导图,cat_rjgju,214.0
cat_lctu,流程图,cat_rjgju,215.0
cat_zhuancaj,CAJ转换,cat_rjgju,216.0
cat_wxgli,文献管理,cat_rjgju,217.0
cat_ktu,看图,cat_rjgju,219.0
cat_jtu,截图,cat_rjgju,220.0
cat_ptu,拼图,cat_rjgju,221.0
cat_ysfda,压缩／放大,cat_rjgju,222.0
cat_gszhuan,格式转换,cat_rjgju,223.0
