id,name,parent,sort_order
xiazaixiangguan89,下载相关,diannaoshoujichangyong68,3
ziyuanxiutanxiazai90,资源嗅探下载,xiazaixiangguan89,1
BTciliziyuanxiazai91,BT磁力资源下载,xiazaixiangguan89,2
lixianxiazaifuwu92,离线下载服务,xiazaixiangguan89,3
wangpanziyuanxiazai93,网盘资源下载,xiazaixiangguan89,4
gugebanAPPxiazai94,谷歌版APP下载,xiazaixiangguan89,5
wendangziyuanxiazai95,文档资源下载,xiazaixiangguan89,6
duanshipinxiazai96,短视频下载,xiazaixiangguan89,7
Bilibilishipinxiazai97,Bilibili视频下载,xiazaixiangguan89,8
YouTubeshipinxiazai98,YouTube视频下载,xiazaixiangguan89,9
Instagramxiazai99,Instagram下载,xiazaixiangguan89,10
wangkexiazai100,网课下载,xiazaixiangguan89,11
zhiboluzhi101,直播录制,xiazaixiangguan89,12
wendangxiangguan102,文档相关,diannaoshoujichangyong68,4
WPS103,WPS,wendangxiangguan102,1
dianzishuyueduqi104,电子书阅读器,wendangxiangguan102,2
PDFyueduqi105,PDF阅读器,wendangxiangguan102,3
PDFbianjiqi106,PDF编辑器,wendangxiangguan102,4
PDFzhuanhuan107,PDF转换,wendangxiangguan102,5
PDFqitaxiangguan108,PDF其他相关,wendangxiangguan102,6
yinshipinxiangguan109,音视频相关,diannaoshoujichangyong68,5
yinyuebofang110,音乐播放,yinshipinxiangguan109,1
yinpinbianji111,音频编辑,yinshipinxiangguan109,2
bendishipinbofang112,本地视频播放,yinshipinxiangguan109,3
wangluoshipinbofang113,网络视频播放,yinshipinxiangguan109,4
pingmuluzhi114,屏幕录制,yinshipinxiangguan109,5
shipinjianji115,视频剪辑,yinshipinxiangguan109,6
shipinqushuiyin116,视频去水印,yinshipinxiangguan109,7
yinshipinzhuaiwenzi117,音视频转文字,yinshipinxiangguan109,8
yinshipinzhuanma118,音视频转码,yinshipinxiangguan109,9
wenzizhuanyinpin119,文字转音频,yinshipinxiangguan109,10
shujuhuchuan120,数据互传,diannaoshoujichangyong68,6
youxijiasuqi121,游戏加速器🔥,diannaoshoujichangyong68,7
axudebijifangan122,阿虚的笔记方案,diannaoshoujichangyong68,8
wenjiansousuowendangsousuo123,文件搜索／文档搜索,diannaoshoujichangyong68,9
